"Species";"Table";"Phylum";"Note"
"Echinoidea";"Bottom Vegetation";;
"Echinus acutus";"Bottom Vegetation";;
"Echinus esculentus";"Bottom Vegetation";;
"Echinus sp.";"Bottom Vegetation";;
"Ectocarpus confervoides";"Bottom Vegetation";;
"Ectocarpus fasciculatus";"Bottom Vegetation";;
"Ectocarpus penicillatus";"Bottom Vegetation";;
"Ectocarpus siliculosus";"Bottom Vegetation";;
"Ectocarpus sp.";"Bottom Vegetation";;
"Ectocarpus virescens";"Bottom Vegetation";;
"Ectopleura larynx";"Bottom Vegetation";;
"Edwardsia danica";"Bottom Vegetation";;
"Elachista chondrii";"Bottom Vegetation";;
"Elachista fucicola";"Bottom Vegetation";;
"Elachista scutulata";"Bottom Vegetation";;
"Elakatothrix biplex";"Bottom Vegetation";;
"Electra crustulenta";"Bottom Vegetation";;
"Electra pilosa";"Bottom Vegetation";;
"Electra sp.";"Bottom Vegetation";;
"Eleocharis parvula";"Bottom Vegetation";;
"Elodea canadensis";"Bottom Vegetation";;
"Elysia viridis";"Bottom Vegetation";;
"Endodictyon infestans";"Bottom Vegetation";;
"Enipo kinbergi";"Bottom Vegetation";;
"Ensis americanus";"Bottom Vegetation";;
"Ensis ensis";"Bottom Vegetation";;
"Ensis sp.";"Bottom Vegetation";;
"Entelurus aequoreus";"Bottom Vegetation";;
"Enteromorpha ahlneriana";"Bottom Vegetation";;
"Enteromorpha clathrata";"Bottom Vegetation";;
"Enteromorpha compressa";"Bottom Vegetation";;
"Enteromorpha flexuosa";"Bottom Vegetation";;
"Enteromorpha intestinalis";"Bottom Vegetation";;
"Enteromorpha intestinaloides";"Bottom Vegetation";;
"Enteromorpha lingulata";"Bottom Vegetation";;
"Enteromorpha linza";"Bottom Vegetation";;
"Enteromorpha linziformis";"Bottom Vegetation";;
"Enteromorpha prolifera";"Bottom Vegetation";;
"Enteromorpha radiata";"Bottom Vegetation";;
"Enteromorpha sp.";"Bottom Vegetation";;
"Enteromorpha torta";"Bottom Vegetation";;
"Enårige trådformede grøn-";"Bottom Vegetation";;"Split ODA entry: 'Enårige trådformede grøn-/brunalger'"
"brunalger";"Bottom Vegetation";;"Split ODA entry: 'Enårige trådformede grøn-/brunalger'"
"Epicladia flustrae";"Bottom Vegetation";;
"Epicladia phillipsii";"Bottom Vegetation";;
"Epicladia sp.";"Bottom Vegetation";;
"Ericthonius brasiliensis";"Bottom Vegetation";;
"Ericthonius difformis";"Bottom Vegetation";;
"Ericthonius rubricornis";"Bottom Vegetation";;
"Ericthonius sp.";"Bottom Vegetation";;
"Errantia";"Bottom Vegetation";;
"Erythrocladia irregularis";"Bottom Vegetation";;
"Erythrocladia subintegra";"Bottom Vegetation";;
"Erythrodermis traillii";"Bottom Vegetation";;
"Erythrotrichia carnea";"Bottom Vegetation";;
"Erythrotrichia reflexa";"Bottom Vegetation";;
"Escharella immersa";"Bottom Vegetation";;
"Eteone flava";"Bottom Vegetation";;
"Eteone longa";"Bottom Vegetation";;
"Eteone sp.";"Bottom Vegetation";;
"Eualus occultus";"Bottom Vegetation";;
"Eucratea loricata";"Bottom Vegetation";;
"Eudendrium arbusculum";"Bottom Vegetation";;
"Eudendrium sp.";"Bottom Vegetation";;
"Eudesme virescens";"Bottom Vegetation";;
"Eudorellopsis deformis";"Bottom Vegetation";;
"Eugomontia sacculata";"Bottom Vegetation";;
"Eulalia bilineata";"Bottom Vegetation";;
"Eulalia viridis";"Bottom Vegetation";;
"Eumida minuta";"Bottom Vegetation";;
"Eumida sanguinea";"Bottom Vegetation";;
"Eumida sp.";"Bottom Vegetation";;
"Eupagurus bernhardus";"Bottom Vegetation";;
"Eupolymnia sp.";"Bottom Vegetation";;
"Exogone sp.";"Bottom Vegetation";;
"Fabricia sabella";"Bottom Vegetation";;
"Facelina bostoniensis";"Bottom Vegetation";;
