"SpeciesOriginal";"Species";"Status";"cryptogenic";"data-deficient";"non-indigenous"
"Bugula neritina (Linnaeus, 1758)";"Bugula neritina";"cryptogenic";"BE,FR,DE,EL,IE,IT,NL,PT,ES,UK";;
"Bugulina fulva (Ryland, 1960)";"Bugulina fulva";"cryptogenic";"HR,FR,EL,PT,ES,UK";;
"Bugulina simplex (Hincks, 1886)";"Bugulina simplex";"non-indigenous";;;"BE,FR,IE,NL,PT,ES,UK"
"Bugulina stolonifera (Ryland, 1960)";"Bugulina stolonifera";"cryptogenic";"BE,FR,DE,NL,PT,ES,UK";;
"Bulla arabica Malaquias & Reid, 2008";"Bulla arabica";"non-indigenous";;;"CY,EL"
"Bursatella leachii Blainville, 1817";"Bursatella leachii";"cryptogenic";"HR,EL,IT,MT,SI,ES";;
"Calanopia elliptica (Dana, 1849)";"Calanopia elliptica";"non-indigenous";;;"EL,IT"
"Calappa pelii Herklots, 1851";"Calappa pelii";"non-indigenous";;;"EL,IT,ES"
"Callinectes danae Smith, 1869";"Callinectes danae";"non-indigenous";;;"IT"
"Callinectes sapidus Rathbun, 1896";"Callinectes sapidus";"non-indigenous";;;"BE,BG,HR,CY,DK,FR,DE,EL,IT,NL,PT,RO,ES,UK"
"Callionymus filamentosus Valenciennes, 1837";"Callionymus filamentosus";"non-indigenous";;;"EL"
"Calliostoma zizyphinum (Linnaeus, 1758)";"Calliostoma zizyphinum";"non-indigenous";;;"NL"
"Calma gobioophaga Calado & Urgorri, 2002";"Calma gobioophaga";"cryptogenic";"HR";;
"Calyptraea chinensis (Linnaeus, 1758)";"Calyptraea chinensis";"non-indigenous";;;"IE,NL,UK"
"Capitellethus dispar (Ehlers, 1907)";"Capitellethus dispar";"data-deficient";;"BG,EL";
"Caprella mutica Schurin, 1935";"Caprella mutica";"non-indigenous";;;"BE,DK,DE,IE,NL,ES,SE,UK"
"Caprella scaura Templeton, 1836";"Caprella scaura";"non-indigenous";;;"EL,IT,PT,ES"
"Carassius gibelio (Bloch, 1782)";"Carassius gibelio";"non-indigenous";;;"EE,FI,LV,LT,PL"
"Carcinus maenas (Linnaeus, 1758)";"Carcinus maenas";"non-indigenous";;;"FI"
"Carupa tenuipes Dana, 1852";"Carupa tenuipes";"non-indigenous";;;"EL"
"Cassiopea andromeda (Forsskål, 1775)";"Cassiopea andromeda";"non-indigenous";;;"CY,EL,MT"
"Catenicella paradoxa Rosso, 2009";"Catenicella paradoxa";"cryptogenic";"IT";;
"Caulacanthus okamurae Yamada, 1933";"Caulacanthus okamurae";"non-indigenous";;;"FR,UK"
"Caulerpa chemnitzia (Esper) J.V.Lamououx, 1809";"Caulerpa chemnitzia";"cryptogenic";"CY";;
"Caulerpa cylindracea Sonder, 1845";"Caulerpa cylindracea";"non-indigenous";;;"HR,CY,FR,EL,IT,MT,ES"
