"locality";"locationID";"higherGeography";"MRGID";"placeType";"latitude";"longitude";"minLongitude";"maxLongitude";"minLatitude";"maxLatitude"
"Ría de Foz";"http://marineregions.org/mrgid/17826";"Spain";17826;"Estuary";"43.56667";"-7.23333";;;;
"La Coruña";"http://marineregions.org/mrgid/17681";"Spain";17681;"Town";"43.37135";"-8.396";;;;
"Ría de Lage";"http://marineregions.org/mrgid/17827";"Spain";17827;"Estuary";"43.2462";"-8.98476";;;;
"Bermudian Exclusive Economic Zone";"http://marineregions.org/mrgid/8402";"North Atlantic Ocean";8402;"EEZ";"32.36899";"-64.80693";"-68.91706";"-60.7048";"28.90577";"35.80855"
"Guéthary";"http://marineregions.org/mrgid/14645";"France";14645;"Commune";"43.4243";"-1.6145";;;;
"Falmouth";"http://marineregions.org/mrgid/17532";"United Kingdom";17532;"Town";"50.14833";"-5.07611";;;;
"Mediterranean Sea";"http://marineregions.org/mrgid/1905";"Mediterranean Sea";1905;"IHO Sea Area";"38.0236053466797";"15.0923042297363";"-6.03267288208008";"36.2172813415527";"30.2638816833496";"45.7833290100098"
"Norway";"http://marineregions.org/mrgid/2252";"Norway";2252;"Nation";"69.39135";"12.27696";"-9.0785";"33.63242";"57.9603";"80.8224"
"Ireland";"http://marineregions.org/mrgid/2114";"Ireland";2114;"Nation";"53.426";"-8.3311";"-10.6645";"-5.9977";"51.4202";"55.4318"
"South Coast of England";"http://marineregions.org/mrgid/14301";"United Kingdom";14301;"Coast";"50.61113";"-1.18652";;;;
"Strijenham";"http://marineregions.org/mrgid/17874";"Netherlands";17874;"Inhabited Place";"51.52417";"4.15556";;;;
"Christiansted";"http://marineregions.org/mrgid/32425";;32425;"City";"17.75";"-64.75";;;;
"Lekeitio";"http://marineregions.org/mrgid/17704";"Spain";17704;"Town";"43.36667";"-2.5";;;;
"Naples Bay";"http://marineregions.org/mrgid/22457";;22457;"Bay";"26.109094";"-81.78245";"-81.78489";"-81.7975";"26.11606";"26.13641"
"The Wash";"http://marineregions.org/mrgid/3244";"North Sea";3244;"Bay";"52.9380555555556";"0.288055555555556";"-0.779";"0.558267992";"52.73910897";"53.17064513"
"Shetland Islands";"http://marineregions.org/mrgid/3260";;3260;"Archipelago";"60.19175";"-1.42325";"-2.1185";"-0.728";"59.5074";"60.8761"
"Azores";"http://marineregions.org/mrgid/2454";"North Atlantic Ocean";2454;"Archipelago";"38.32455";"-28.1377";"-31.2641";"-25.0113";"36.9256";"39.7235"
"Bay of Biscay";"http://marineregions.org/mrgid/2359";"Bay of Biscay";2359;"IHO Sea Area";"45.2244285966";"-3.93513546256";"-7.89681243874";"-0.14624464477";"43.27442812915";"47.98778772322"
"Greenland";"http://marineregions.org/mrgid/2260";;2260;"Dependent State";"71.70693";"-42.60563";"-73.05361";"-12.15764";"59.79027";"83.6236"
"Iceland";"http://marineregions.org/mrgid/2129";"Iceland";2129;"Nation";"64.929";"-19.01045";"-24.5297";"-13.4912";"63.2834";"66.5746"
